platform,appid,country,currency,initial,final,discount_percent,release_date,type,is_free,genres,categories,ts_collected_utc
steam,1363080,GB,GBP,34.99,34.99,0,"26 Apr, 2024",game,False,"Simulation,Strategy,Early Access","Single-player,Steam Achievements,Adjustable Text Size,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Mouse Only Option,Save Anytime,Stereo Sound,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,2787320,US,USD,29.99,11.99,60,"May 8, 2025",game,False,"Action,Adventure","Single-player,Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,2456740,US,USD,39.99,39.99,0,"Mar 27, 2025",game,False,"Adventure,Casual,Simulation,Early Access","Single-player,Partial Controller Support,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,2456740,SE,EUR,39.99,39.99,0,"27 Mar, 2025",game,False,"Adventure,Casual,Simulation,Early Access","Single-player,Partial Controller Support,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,1898300,NO,NOK,280.0,168.0,40,"20 Jun, 2024",game,False,"Adventure,Simulation,Strategy,Early Access","Single-player,Multi-player,Co-op,Online Co-op,Full controller support,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,1943950,AR,USD,5.79,5.79,0,"23 Oct, 2025",game,False,"Action,Indie","Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Stereo Sound,Partial Controller Support,Steam Cloud,HDR available,Family Sharing",2025-11-17T05:02:14Z
steam,850190,MX,MXN,334.99,133.99,60,"15 Feb, 2024",game,False,"Adventure,Casual,Simulation","Single-player,Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,1671210,CA,CAD,32.99,32.99,0,"4 Jun, 2025",game,False,"Indie,RPG","Single-player,Full controller support,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,2362060,KR,KRW,79800.0,79800.0,0,"29 Jan, 2026",game,False,"Action,RPG","Single-player,Steam Achievements,Full controller support,Captions available,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,1127500,FR,EUR,8.19,6.14,25,"20 Jul, 2021",game,False,"Casual,Simulation,Strategy","Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Family Sharing",2025-11-17T05:02:14Z
steam,1313140,CN,CNY,118.0,118.0,0,"11 Aug, 2022",game,False,"Action,Adventure,Indie,Strategy","Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Adjustable Text Size,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Subtitle Options,Steam Cloud,Remote Play Together,Family Sharing",2025-11-17T05:02:14Z
steam,1623730,AR,USD,14.99,14.99,0,"18 Jan, 2024",game,False,"Action,Adventure,Indie,RPG,Early Access","Single-player,Multi-player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,1716740,CH,CHF,79.9,79.9,0,"5 Sep, 2023",game,False,RPG,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Color Alternatives,Playable without Timed Input,Stereo Sound,Surround Sound,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,304390,GB,GBP,24.99,24.99,0,"14 Mar, 2024",game,False,Action,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,In-App Purchases,Partial Controller Support",2025-11-17T05:02:14Z
steam,2379780,BR,BRL,44.99,44.99,0,"20 Feb, 2024",game,False,"Casual,Indie,Strategy","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Color Alternatives,Custom Volume Controls,Mouse Only Option,Playable without Timed Input,Touch Only Option,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,2508780,US,USD,49.99,39.99,20,"Aug 27, 2025",game,False,"Casual,Simulation","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,3293260,RU,RUB,460.0,460.0,0,"22 Aug, 2025",game,False,"Casual,Indie,Simulation,Early Access","Single-player,Steam Achievements,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,2958970,RU,RUB,1100.0,715.0,35,"5 Dec, 2024",game,False,Action,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,926990,JP,JPY,3400.0,2244.0,34,"22 Jul, 2025",game,False,"Action,RPG,Simulation","Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Family Sharing",2025-11-17T05:02:14Z
steam,4000,KR,KRW,10500.0,10500.0,0,"29 Nov, 2006",game,False,"Casual,Indie,Simulation","Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Save Anytime,Stereo Sound,Steam Cloud,Valve Anti-Cheat enabled,Includes level editor,Includes Source SDK,Remote Play on Tablet,Family Sharing",2025-11-17T05:02:14Z
steam,1874880,NO,NOK,429.5,300.65,30,"16 Nov, 2023",game,False,"Action,Simulation,Strategy","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Captions available,Steam Cloud",2025-11-17T05:02:14Z
steam,2358720,SE,EUR,59.99,59.99,0,"19 Aug, 2024",game,False,"Action,Adventure,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Playable without Timed Input,Stereo Sound,Surround Sound,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,960090,AU,AUD,19.95,19.95,0,"17 Dec, 2018",game,False,Strategy,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,In-App Purchases,Remote Play on Phone,Remote Play on Tablet,Family Sharing",2025-11-17T05:02:14Z
steam,1363080,AR,USD,19.99,19.99,0,"26 Apr, 2024",game,False,"Simulation,Strategy,Early Access","Single-player,Steam Achievements,Adjustable Text Size,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Mouse Only Option,Save Anytime,Stereo Sound,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,703080,NZ,NZD,55.99,16.79,70,"5 Nov, 2019",game,False,"Casual,Simulation,Strategy","Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,HDR available,Family Sharing",2025-11-17T05:02:14Z
steam,813780,BR,BRL,89.99,89.99,0,"14 Nov, 2019",game,False,Strategy,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud,Includes level editor,Family Sharing",2025-11-17T05:02:14Z
steam,400750,FR,EUR,34.99,8.74,75,"11 Jun, 2021",game,False,"Action,Simulation,Strategy","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards,Includes level editor,Family Sharing",2025-11-17T05:02:14Z
steam,3230400,SE,EUR,69.99,69.99,0,"14 Aug, 2025",game,False,"Simulation,Sports","Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases,Camera Comfort,Chat Speech-to-text,Chat Text-to-speech,Color Alternatives,Adjustable Difficulty,Playable without Timed Input,Stereo Sound,Surround Sound,HDR available,Family Sharing",2025-11-17T05:02:14Z
steam,916440,BR,BRL,179.99,179.99,0,"16 Apr, 2019",game,False,"Simulation,Strategy","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Captions available",2025-11-17T05:02:14Z
